"Per Pupil Expenditures by Function (District), 2020-21"
"State of Connecticut"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"State of Connecticut","=""0000000""","Instruction","$6,360,021,155",541387,1,"$11,748"
"State of Connecticut","=""0000000""","Support services - students","$727,065,656",506747,2,"$1,435"
"State of Connecticut","=""0000000""","Support services - instruction","$386,479,966",506747,2,"$763"
"State of Connecticut","=""0000000""","Support services - general administration","$233,780,909",506747,2,"$461"
"State of Connecticut","=""0000000""","Support services - school based administration","$546,351,709",506747,2,"$1,078"
"State of Connecticut","=""0000000""","Central and other support services","$348,396,139",506747,2,"$688"
"State of Connecticut","=""0000000""","Operation and maintenance of plant","$946,065,415",506747,2,"$1,867"
"State of Connecticut","=""0000000""","Student transportation services","$494,595,880",384401,3,"$1,287"
"State of Connecticut","=""0000000""","Food services","$14,070,021",506747,2,"$28"
"State of Connecticut","=""0000000""","Enterprise operations","$84,099,015",506747,2,"$166"
"State of Connecticut","=""0000000""","Minor school construction","N/A","N/A","N/A","N/A"
"State of Connecticut","=""0000000""","Total","$10,140,925,949",541387,1,"$18,731"

